ID_Modulo;ID_Sub_Modulo;Nombre_Sub_Modulo;ID_Item;Nombre_Item;Unidad;Cantidad;Pres_Material_Equipos_Bs;Pres_Mano_Obra_Bs;Presupuesto_Item_Bs;Real_Mat_Eq_Bs;Real_Mano_Obra_Bs;Avance_Bs;Pct_Mat_Eq;Pct_Mano_Obra;Pct_Avance_Item
A;A.1;ACTIVIDADES PRELIMINARES;1;INSTALACION DE FAENAS Y OBRADOR;glb;1;5440;5175;10615;0;0;0;0;0;0
A;A.1;ACTIVIDADES PRELIMINARES;2;INSTALACION GABINETE ELÉCTRICO;glb;1;2200;1725;3925;0;0;0;0;0;0
A;A.1;ACTIVIDADES PRELIMINARES;3;INSTALACION GABINETE SANITARIO;glb;1;1650;1380;3030;0;0;0;0;0;0
A;A.1;ACTIVIDADES PRELIMINARES;4;CERRAMIENTO DE OBRA;glb;1;2800;4600;7400;0;0;0;0;0;0
A;A.1;ACTIVIDADES PRELIMINARES;5;LIMPIEZA DEL TERRENO (SECTOR DE OBRAS);m²;665;0;8.05;5353.25;0;0;0;0;0;0
A;A.1;ACTIVIDADES PRELIMINARES;6;REPLANTEO DE ESTRUCTURAS;m²;665;2.2;5.75;5286.75;0;0;0;0;0;0
A;A.2;MOVIMIENTO DE TIERRA Y EXCAVACIONES;7;MOVIMIENTO DE TIERRA Y EXCAVACIONES;m³;239.4;35;5.75;9755.55;0;0;0;0;0;0
A;A.2;MOVIMIENTO DE TIERRA Y EXCAVACIONES;8;EXCAVACIÓN CON MAQUINARIA;m³;102.7725;0;51.75;5318.476875;0;0;0;0;0;0
A;A.2;MOVIMIENTO DE TIERRA Y EXCAVACIONES;9;EXCAVACIÓN MANUAL (0 - 2M);m³;532.00728;72;69;75013.02648;0;0;0;0;0;0
A;A.2;MOVIMIENTO DE TIERRA Y EXCAVACIONES;10;RELLENO Y COMPACTADO;m³;7.4844;1095;460;11638.242;0;0;0;0;0;0
A;A.3;ESTRUCTURAS DE HORMIGÓN ARMADO;11;ACERO ESTRUCTURAL AEH 500CN;t;18.164;9450;3450;234315.6;0;0;0;0;0;0
A;A.3;ESTRUCTURAS DE HORMIGÓN ARMADO;12;PERFILES DE ACERO ESTRUCTURAL A36;t;2.071188;12950;11550;50744.106;0;0;0;0;0;0
A;A.3;ESTRUCTURAS DE HORMIGÓN ARMADO;13;CUBIERTA DE STEEL FRAME + TEJA COLONIAL;m²;329.23;290;0;95476.7;0;0;0;0;0;0
